detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_eq_2D 2 0.4316947267462241 1 0.00142337 1.17037e-05 0.00201892 1.75941e-05 0.007542 6.55786e-05 0.00746149 6.39791e-05
MM_6_eq_2D 3 0.4316947267462241 1 0.00145762 1.18273e-05 0.00202403 1.72798e-05 0.00763944 6.47568e-05 0.00756248 6.35514e-05
MM_6_eq_2D 5 0.4316947267462241 1 0.00143546 1.19303e-05 0.00203532 1.67562e-05 0.00753349 6.52057e-05 0.00749167 6.44589e-05
MM_6_eq_2D 1 0.4316947267462241 2 0.00089731 7.19147e-06 0.000988304 8.43531e-06 0.00868332 7.28774e-05 0.00867139 7.22055e-05
MM_6_eq_2D 2 0.4316947267462241 2 0.000900282 7.08604e-06 0.000972591 8.19566e-06 0.00863463 6.95385e-05 0.00858833 6.88377e-05
MM_6_eq_2D 3 0.4316947267462241 2 0.000899034 6.79936e-06 0.000981269 8.50443e-06 0.00866806 7.02425e-05 0.0086607 7.02247e-05
MM_6_eq_2D 5 0.4316947267462241 2 0.000920088 7.56113e-06 0.000979777 8.14254e-06 0.00884478 7.29579e-05 0.00877281 7.26431e-05
MM_6_eq_2D 1 0.4316947267462241 3 0.000735973 5.92006e-06 0.000624959 5.20534e-06 0.0102816 8.0796e-05 0.0102804 8.14307e-05
MM_6_eq_2D 2 0.4316947267462241 3 0.000735976 5.85496e-06 0.000618733 5.10495e-06 0.0102716 8.07895e-05 0.0102391 8.04715e-05
MM_6_eq_2D 3 0.4316947267462241 3 0.000739971 5.84127e-06 0.000620875 5.33773e-06 0.0101424 8.1852e-05 0.0101322 8.14039e-05
MM_6_eq_2D 5 0.4316947267462241 3 0.000745041 6.10559e-06 0.000627333 5.32607e-06 0.0102512 8.09262e-05 0.010248 8.067e-05
MM_6_eq_2D 1 0.4316947267462241 4 0.00065149 5.24245e-06 0.000449848 3.80905e-06 0.0115771 8.92746e-05 0.0115715 8.91762e-05
MM_6_eq_2D 2 0.4316947267462241 4 0.000646096 4.85927e-06 0.000442311 3.77194e-06 0.0116004 9.01486e-05 0.0116061 9.00438e-05
